stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
TEC:Bbea3he2,Beauvechain Rue des 3 Héros,50.761125,4.816978,0,stoparea:TEC:Bbea3he,,1,,
TEC:Bbeaap11,Beauvechain Aérodrome P1,50.753741,4.78376,0,stoparea:TEC:Bbeaap1,,1,,
TEC:Bbeaap12,Beauvechain Aérodrome P1,50.753993,4.783677,0,stoparea:TEC:Bbeaap1,,1,,
TEC:Bbeaap51,Beauvechain Aérodrome P5,50.772144,4.780931,0,stoparea:TEC:Bbeaap5,,1,,
TEC:Bbeaap52,Beauvechain Aérodrome P5,50.772631,4.780666,0,stoparea:TEC:Bbeaap5,,1,,
TEC:Bbeabme1,La BRUYÈRE Rue de Mélin,50.761794,4.784497,0,stoparea:TEC:Bbeabme,,1,,
TEC:Bbeabme2,La BRUYÈRE Rue de Mélin,50.761838,4.78471,0,stoparea:TEC:Bbeabme,,1,,
TEC:Bbeacha1,Beauvechain Chapelle,50.775138,4.778434,0,stoparea:TEC:Bbeacha,,1,,
TEC:Bbeacha2,Beauvechain Chapelle,50.775191,4.77859,0,stoparea:TEC:Bbeacha,,1,,
TEC:Bbeaech1,Ecluse Chapelle,50.77687,4.825436,0,stoparea:TEC:Bbeaech,,1,,
TEC:Bbeaech2,Ecluse Chapelle,50.776987,4.825409,0,stoparea:TEC:Bbeaech,,1,,
TEC:Bbeaegl1,La BRUYÈRE Eglise,50.763762,4.787165,0,stoparea:TEC:Bbeaegl,,1,,
TEC:Bbeaegl2,La BRUYÈRE Eglise,50.763887,4.787464,0,stoparea:TEC:Bbeaegl,,1,,
TEC:Bbeagae1,Ecluse Rue de Gaet,50.772811,4.831195,0,stoparea:TEC:Bbeagae,,1,,
TEC:Bbeagae2,Ecluse Rue de Gaet,50.772855,4.831352,0,stoparea:TEC:Bbeagae,,1,,
TEC:Bbealbu3,Beauvechain Les Burettes,50.776391,4.792595,0,stoparea:TEC:Bbealbu,,1,,
TEC:Bbealbu4,Beauvechain Les Burettes,50.776508,4.792567,0,stoparea:TEC:Bbealbu,,1,,
TEC:Bbealon3,Beauvechain Rue Longue,50.770411,4.802748,0,stoparea:TEC:Bbealon,,1,,
TEC:Bbealon4,Beauvechain Rue Longue,50.770392,4.803074,0,stoparea:TEC:Bbealon,,1,,
TEC:Bbealou1,Beauvechain Rue de Louvain,50.780664,4.791839,0,stoparea:TEC:Bbealou,,1,,
TEC:Bbealou2,Beauvechain Rue de Louvain,50.780827,4.791557,0,stoparea:TEC:Bbealou,,1,,
TEC:Bbeamon1,Beauvechain Monument,50.780595,4.775688,0,stoparea:TEC:Bbeamon,,1,,
