service_id,date,exception_type
6074:TEC:BW:43,20180530,1
6074:TEC:BW:43,20180606,1
6074:TEC:BW:43,20180613,1
6074:TEC:BW:43,20180620,1
6074:TEC:BW:43,20180627,1
6074:TEC:BW:20,20180601,1
6074:TEC:BW:20,20180604,1
6074:TEC:BW:20,20180607,1
6074:TEC:BW:20,20180608,1
6074:TEC:BW:20,20180611,1
6074:TEC:BW:20,20180614,1
6074:TEC:BW:20,20180615,1
6074:TEC:BW:20,20180618,1
6074:TEC:BW:20,20180621,1
6074:TEC:BW:20,20180622,1
6074:TEC:BW:20,20180625,1
6074:TEC:BW:20,20180628,1
6074:TEC:BW:20,20180629,1
6074:TEC:BW:21,20180601,1
6074:TEC:BW:21,20180604,1
6074:TEC:BW:21,20180605,1
6074:TEC:BW:21,20180608,1
6074:TEC:BW:21,20180611,1
6074:TEC:BW:21,20180612,1
6074:TEC:BW:21,20180615,1
6074:TEC:BW:21,20180618,1
6074:TEC:BW:21,20180619,1
6074:TEC:BW:21,20180622,1
6074:TEC:BW:21,20180625,1
6074:TEC:BW:21,20180626,1
6074:TEC:BW:21,20180629,1
6074:TEC:BW:22,20180601,1
6074:TEC:BW:22,20180607,1
6074:TEC:BW:22,20180608,1
6074:TEC:BW:22,20180614,1
6074:TEC:BW:22,20180615,1
6074:TEC:BW:22,20180621,1
6074:TEC:BW:22,20180622,1
6074:TEC:BW:22,20180628,1
6074:TEC:BW:22,20180629,1
6074:TEC:BW:23,20180604,1
6074:TEC:BW:23,20180605,1
6074:TEC:BW:23,20180611,1
6074:TEC:BW:23,20180612,1
6074:TEC:BW:23,20180618,1
6074:TEC:BW:23,20180619,1
6074:TEC:BW:23,20180625,1
6074:TEC:BW:23,20180626,1
6074:TEC:BW:24,20180602,1
6074:TEC:BW:24,20180609,1
6074:TEC:BW:24,20180616,1
6074:TEC:BW:24,20180623,1
6074:TEC:BW:24,20180630,1
6074:TEC:BW:24,20180707,1
6074:TEC:BW:24,20180714,1
6074:TEC:BW:24,20180728,1
6074:TEC:BW:24,20180804,1
6074:TEC:BW:24,20180811,1
6074:TEC:BW:24,20180818,1
6074:TEC:BW:24,20180825,1
6074:TEC:BW:25,20180603,1
6074:TEC:BW:25,20180610,1
6074:TEC:BW:25,20180617,1
6074:TEC:BW:25,20180624,1
6074:TEC:BW:25,20180701,1
6074:TEC:BW:25,20180708,1
6074:TEC:BW:25,20180715,1
6074:TEC:BW:25,20180721,1
6074:TEC:BW:25,20180722,1
6074:TEC:BW:25,20180729,1
6074:TEC:BW:25,20180805,1
6074:TEC:BW:25,20180812,1
6074:TEC:BW:25,20180815,1
6074:TEC:BW:25,20180819,1
6074:TEC:BW:25,20180826,1
6074:TEC:BW:26,20180606,1
6074:TEC:BW:26,20180613,1
6074:TEC:BW:26,20180620,1
6074:TEC:BW:26,20180627,1
6074:TEC:BW:27,20180702,1
